w1,w2,w3,Accurate,
0.521080992,0.467385159,-0.50189411,0.46,
-0.108962035,-0.478084403,0.149138347,0.4,
0.010860893,0.666883563,0.474169795,0.52,
0.715661926,0.228358409,-0.567687862,0.44,
0.682905756,0.574431274,0.23204961,0.48,
0.648840362,0.309812528,0.319445864,0.5,
0.292043056,-0.201228932,-0.885985615,0.4,
0.448075907,0.286571022,0.51315966,0.5,
-0.026397527,-0.595283234,0.406351725,0.42,
0.39221146,0.254210718,0.634677852,0.5,
0.236557696,0.392830241,-0.167266042,0.4,
0.233333471,0.47877057,0.481685809,0.5,
0.485900124,-0.428348733,-0.612009857,0.4,
-0.136909633,-0.228325751,0.120917037,0.4,
-1.137257867,-1.990263417,-2.798302112,0.4,
0.081888753,0.685121374,0.035954259,0.52,
0.303620807,0.364113185,0.519932635,0.5,
0.61389465,-0.393240929,-0.007800373,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
-3.325045893,-5.40770549,-10.57674004,0.4,
